emp_no,first_name,last_name,birth_date,from_date,to_date,title
19236,Elzbieta,Morris,1/24/65,7/12/88,1/1/99,Senior Engineer
19350,Satoru,Yoshizawa,1/19/65,3/27/94,1/1/99,Senior Staff
19350,Satoru,Yoshizawa,1/19/65,3/27/94,1/1/99,Staff
19803,Ziva,Kowalchuk,1/30/65,6/13/87,1/1/99,Engineer
19803,Ziva,Kowalchuk,1/30/65,6/13/87,1/1/99,Senior Engineer
20100,Utz,Heuter,1/18/65,6/15/86,1/1/99,Senior Staff
20100,Utz,Heuter,1/18/65,6/15/86,1/1/99,Staff
20128,Kazunori,Peak,1/23/65,8/13/99,1/1/99,Senior Staff
20129,Rafael,Skafidas,1/10/65,3/28/91,1/1/99,Engineer
20129,Rafael,Skafidas,1/10/65,3/28/91,1/1/99,Senior Engineer
20248,Vidar,Demri,1/12/65,12/31/99,1/1/99,Staff
20313,Candida,Benveniste,1/24/65,1/20/99,1/1/99,Engineer
20500,Christoph,Trystram,1/30/65,10/15/93,1/1/99,Senior Staff
20500,Christoph,Trystram,1/30/65,10/15/93,1/1/99,Staff
20885,Otmar,Rothenberg,1/21/65,3/14/89,1/1/99,Engineer
20885,Otmar,Rothenberg,1/21/65,3/14/89,1/1/99,Senior Engineer
21181,Jianhui,Cangellaris,1/21/65,10/6/91,1/1/99,Assistant Engineer
21181,Jianhui,Cangellaris,1/21/65,10/6/91,1/1/99,Engineer
21188,Piyush,Danecki,1/21/65,1/8/00,1/1/99,Engineer
21546,Yongmin,Lanteri,1/1/65,3/19/02,1/1/99,Senior Staff
21843,Karsten,Azadmanesh,1/9/65,11/29/85,1/1/99,Senior Engineer
21909,Mohammed,Brizzi,1/4/65,12/28/91,1/1/99,Senior Staff
21909,Mohammed,Brizzi,1/4/65,12/28/91,1/1/99,Staff
22185,Huai,Birch,1/29/65,6/12/02,1/1/99,Assistant Engineer
22185,Huai,Birch,1/29/65,6/12/02,1/1/99,Engineer
22415,Perla,Jumpertz,1/20/65,8/24/94,1/1/99,Senior Staff
22451,Jasminko,Bresenham,1/27/65,1/19/94,1/1/99,Senior Staff
22451,Jasminko,Bresenham,1/27/65,1/19/94,1/1/99,Staff
22455,Barry,Unno,1/6/65,11/16/90,1/1/99,Senior Staff
22455,Barry,Unno,1/6/65,11/16/90,1/1/99,Staff
22926,Manibrata,Genther,1/1/65,1/15/88,1/1/99,Engineer
22926,Manibrata,Genther,1/1/65,1/15/88,1/1/99,Senior Engineer
23396,Hilari,Fairtlough,1/2/65,12/15/86,1/1/99,Technique Leader
24080,Jaana,Perez,1/26/65,3/11/96,1/1/99,Technique Leader
24205,Roddy,Rubsam,1/25/65,9/19/93,1/1/99,Senior Engineer
24377,Lubomir,Wroclawski,1/25/65,7/25/93,1/1/99,Engineer
24377,Lubomir,Wroclawski,1/25/65,7/25/93,1/1/99,Senior Engineer
24394,Zhonghui,Conta,1/4/65,9/10/94,1/1/99,Staff
24553,Anwar,Passafiume,1/12/65,1/30/87,1/1/99,Senior Staff
24553,Anwar,Passafiume,1/12/65,1/30/87,1/1/99,Staff
24571,Cordelia,Gischer,1/20/65,3/14/89,1/1/99,Engineer
24571,Cordelia,Gischer,1/20/65,3/14/89,1/1/99,Senior Engineer
25488,Ingmar,Basawa,1/19/65,11/9/91,1/1/99,Senior Staff
25488,Ingmar,Basawa,1/19/65,11/9/91,1/1/99,Staff
26629,Nevin,Rodham,1/28/65,12/14/98,1/1/99,Senior Staff
26671,Jiakeng,Kalorkoti,1/21/65,12/25/94,1/1/99,Engineer
26671,Jiakeng,Kalorkoti,1/21/65,12/25/94,1/1/99,Senior Engineer
26788,Zongyan,Dalphin,1/25/65,4/23/88,1/1/99,Engineer
26788,Zongyan,Dalphin,1/25/65,4/23/88,1/1/99,Senior Engineer
27331,Wanqing,Krohm,1/19/65,1/22/91,1/1/99,Senior Staff
27331,Wanqing,Krohm,1/19/65,1/22/91,1/1/99,Staff
27378,Piyawadee,Leppanen,1/28/65,2/25/99,1/1/99,Senior Staff
27620,Shuji,Kandlur,1/25/65,3/2/90,1/1/99,Engineer
27620,Shuji,Kandlur,1/25/65,3/2/90,1/1/99,Senior Engineer
27686,Manu,Rosiles,1/28/65,3/3/98,1/1/99,Senior Staff
27699,Falguni,Pezzoli,1/15/65,12/23/96,1/1/99,Engineer
27767,Tooru,Veldwijk,1/27/65,11/21/93,1/1/99,Senior Staff
27767,Tooru,Veldwijk,1/27/65,11/21/93,1/1/99,Staff
28193,Xinglin,Mitsuhashi,1/29/65,12/14/88,1/1/99,Engineer
28193,Xinglin,Mitsuhashi,1/29/65,12/14/88,1/1/99,Senior Engineer
28974,Chenxi,Sundgren,1/9/65,9/2/86,1/1/99,Senior Engineer
28988,Tua,Giveon,1/18/65,9/9/98,1/1/99,Technique Leader
29130,Xumin,Thorensen,1/6/65,4/26/98,1/1/99,Staff
29265,Gilbert,Calkin,1/14/65,3/21/88,1/1/99,Senior Staff
29265,Gilbert,Calkin,1/14/65,3/21/88,1/1/99,Staff
29380,Satoru,Vidal,1/30/65,5/2/98,1/1/99,Assistant Engineer
29418,Valery,Mersereau,1/22/65,7/1/98,1/1/99,Assistant Engineer
29679,Kolar,Steenbeek,1/17/65,10/18/86,1/1/99,Senior Engineer
29782,Jouko,Hellwagner,1/29/65,10/23/00,1/1/99,Senior Engineer
29954,Pranay,Giarratana,1/27/65,9/29/92,1/1/99,Senior Engineer
30007,Kousuke,Vecchio,1/24/65,2/23/90,1/1/99,Engineer
30007,Kousuke,Vecchio,1/24/65,2/23/90,1/1/99,Senior Engineer
30035,Tetsushi,Conta,1/8/65,7/4/95,1/1/99,Senior Staff
30154,Mayuko,Skafidas,1/26/65,4/19/99,1/1/99,Technique Leader
30182,Leon,Potthoff,1/26/65,12/8/85,1/1/99,Engineer
30182,Leon,Potthoff,1/26/65,12/8/85,1/1/99,Senior Engineer
30465,Randi,Avouris,1/28/65,7/16/86,1/1/99,Engineer
30465,Randi,Avouris,1/28/65,7/16/86,1/1/99,Senior Engineer
30484,Sailaja,Chvatal,1/11/65,5/18/99,1/1/99,Staff
30695,Gudjon,Majewski,1/8/65,10/26/99,1/1/99,Senior Engineer
30938,Yakkov,Samarati,1/6/65,10/10/97,1/1/99,Senior Staff
30938,Yakkov,Samarati,1/6/65,10/10/97,1/1/99,Staff
31147,Divine,Sidhu,1/4/65,7/5/89,1/1/99,Senior Staff
31188,Leandro,Gist,1/12/65,2/3/93,1/1/99,Technique Leader
31207,Abdelwaheb,Dulin,1/30/65,8/5/93,1/1/99,Senior Engineer
31341,Oksana,Zultner,1/1/65,3/23/91,1/1/99,Senior Staff
31341,Oksana,Zultner,1/1/65,3/23/91,1/1/99,Staff
31514,Harngdar,Schapire,1/13/65,11/9/96,1/1/99,Engineer
31514,Harngdar,Schapire,1/13/65,11/9/96,1/1/99,Senior Engineer
31568,Mark,Lalonde,1/10/65,11/24/96,1/1/99,Staff
31909,Murthy,Peek,1/10/65,10/30/00,1/1/99,Engineer
32347,Terresa,Peres,1/8/65,9/15/90,1/1/99,Senior Staff
32347,Terresa,Peres,1/8/65,9/15/90,1/1/99,Staff
32552,Atreye,Stanger,1/17/65,9/10/93,1/1/99,Assistant Engineer
32552,Atreye,Stanger,1/17/65,9/10/93,1/1/99,Engineer
32649,Ingmar,Nannarelli,1/12/65,6/10/88,1/1/99,Senior Staff
32714,Radoslaw,Maliniak,1/16/65,9/18/01,1/1/99,Staff
32844,Tadahiko,Melton,1/23/65,1/7/95,1/1/99,Engineer
33025,Jessie,Thorelli,1/12/65,12/16/99,1/1/99,Senior Staff
33215,Steen,Fasbender,1/29/65,2/14/93,1/1/99,Technique Leader
33722,Anwar,Collette,1/15/65,2/3/01,1/1/99,Senior Engineer
34077,Angel,Sichman,1/8/65,11/16/88,1/1/99,Senior Staff
34077,Angel,Sichman,1/8/65,11/16/88,1/1/99,Staff
34261,Kyoichi,Callaway,1/5/65,12/30/90,1/1/99,Senior Staff
34261,Kyoichi,Callaway,1/5/65,12/30/90,1/1/99,Staff
34446,Chinhyun,Bauknecht,1/31/65,12/19/86,1/1/99,Senior Engineer
34452,Naftaly,Foong,1/8/65,5/10/91,1/1/99,Engineer
34452,Naftaly,Foong,1/8/65,5/10/91,1/1/99,Senior Engineer
34505,Felicidad,Kumaresan,1/28/65,9/6/94,1/1/99,Senior Staff
34505,Felicidad,Kumaresan,1/28/65,9/6/94,1/1/99,Staff
34533,Erzsebet,Shigei,1/10/65,1/16/95,1/1/99,Senior Engineer
34780,Moni,Kohling,1/16/65,9/18/01,1/1/99,Staff
34788,Ennio,Babu,1/27/65,8/31/94,1/1/99,Senior Engineer
34936,Bokyung,Stamatiou,1/12/65,2/12/91,1/1/99,Technique Leader
35044,Jiang,Waschkowski,1/4/65,5/27/89,1/1/99,Engineer
35044,Jiang,Waschkowski,1/4/65,5/27/89,1/1/99,Senior Engineer
35087,Leif,Ashish,1/17/65,10/14/94,1/1/99,Senior Staff
35087,Leif,Ashish,1/17/65,10/14/94,1/1/99,Staff
35441,Chandrasekaran,Peek,1/31/65,9/17/90,1/1/99,Engineer
35441,Chandrasekaran,Peek,1/31/65,9/17/90,1/1/99,Senior Engineer
35642,Ashish,Talmon,1/30/65,2/28/99,1/1/99,Engineer
35642,Ashish,Talmon,1/30/65,2/28/99,1/1/99,Senior Engineer
35793,Oscar,Kusalik,1/1/65,5/11/91,1/1/99,Senior Staff
35793,Oscar,Kusalik,1/1/65,5/11/91,1/1/99,Staff
35798,Ulf,Oberman,1/29/65,3/15/97,1/1/99,Senior Engineer
36521,Serif,Gladwell,1/21/65,3/6/87,1/1/99,Senior Staff
36521,Serif,Gladwell,1/21/65,3/6/87,1/1/99,Staff
36626,Fen,Genin,1/2/65,5/9/86,1/1/99,Senior Staff
36733,Uma,Reinhard,1/4/65,11/1/97,1/1/99,Staff
36844,Hailing,Levergood,1/1/65,1/12/00,1/1/99,Staff
36982,Kotesh,Rajala,1/22/65,6/23/92,1/1/99,Engineer
36982,Kotesh,Rajala,1/22/65,6/23/92,1/1/99,Senior Engineer
37070,Jeong,Undy,1/22/65,2/13/85,1/1/99,Senior Staff
37070,Jeong,Undy,1/22/65,2/13/85,1/1/99,Staff
37945,Suzette,Butterworth,1/2/65,2/19/94,1/1/99,Senior Engineer
38043,Michaela,Randi,1/5/65,11/23/85,1/1/99,Engineer
38043,Michaela,Randi,1/5/65,11/23/85,1/1/99,Senior Engineer
38103,Masasuke,Babu,1/12/65,3/31/88,1/1/99,Engineer
38103,Masasuke,Babu,1/12/65,3/31/88,1/1/99,Senior Engineer
38168,Fumiko,Deverell,1/14/65,8/15/87,1/1/99,Senior Staff
38168,Fumiko,Deverell,1/14/65,8/15/87,1/1/99,Staff
38550,JoAnne,Baez,1/14/65,2/16/87,1/1/99,Senior Engineer
38593,Huei,Orsini,1/14/65,6/4/86,1/1/99,Engineer
38593,Huei,Orsini,1/14/65,6/4/86,1/1/99,Senior Engineer
38947,Shuichi,Ruemmler,1/25/65,4/8/98,1/1/99,Senior Staff
38947,Shuichi,Ruemmler,1/25/65,4/8/98,1/1/99,Staff
39000,Martijn,Vendrig,1/8/65,3/3/97,1/1/99,Senior Staff
39000,Martijn,Vendrig,1/8/65,3/3/97,1/1/99,Staff
39036,Changho,Cappelli,1/8/65,5/4/96,1/1/99,Staff
39301,Rimon,Kawashima,1/7/65,2/6/92,1/1/99,Senior Staff
39301,Rimon,Kawashima,1/7/65,2/6/92,1/1/99,Staff
39341,Mahmut,Lampe,1/1/65,5/11/85,1/1/99,Engineer
39341,Mahmut,Lampe,1/1/65,5/11/85,1/1/99,Senior Engineer
39952,Otmar,Sudbeck,1/2/65,7/22/98,1/1/99,Staff
40269,Toshiki,Ghazalie,1/10/65,12/5/91,1/1/99,Senior Staff
40269,Toshiki,Ghazalie,1/10/65,12/5/91,1/1/99,Staff
40283,Sudhanshu,Boissier,1/7/65,5/11/85,1/1/99,Engineer
40283,Sudhanshu,Boissier,1/7/65,5/11/85,1/1/99,Senior Engineer
40301,Spyrose,Felder,1/20/65,10/20/97,1/1/99,Senior Engineer
40536,Harngdar,Bernardinello,1/20/65,2/29/88,1/1/99,Engineer
40536,Harngdar,Bernardinello,1/20/65,2/29/88,1/1/99,Senior Engineer
40765,Michaela,Ramsak,1/1/65,12/21/92,1/1/99,Senior Staff
40765,Michaela,Ramsak,1/1/65,12/21/92,1/1/99,Staff
40773,Shimshon,Aingworth,1/9/65,4/13/86,1/1/99,Senior Staff
40773,Shimshon,Aingworth,1/9/65,4/13/86,1/1/99,Staff
40983,Marla,Cherinka,1/17/65,12/1/86,1/1/99,Technique Leader
41114,Petter,Thummel,1/25/65,12/24/95,1/1/99,Technique Leader
41137,Bikash,Buchter,1/20/65,1/8/96,1/1/99,Senior Staff
41137,Bikash,Buchter,1/20/65,1/8/96,1/1/99,Staff
41357,Willard,Vernadat,1/6/65,3/4/97,1/1/99,Engineer
41518,Keung,Schapiro,1/11/65,2/8/01,1/1/99,Senior Engineer
41520,Xiong,Uhrik,1/20/65,3/21/88,1/1/99,Senior Engineer
41609,Yucai,Simmen,1/4/65,10/13/87,1/1/99,Senior Staff
42778,Shuji,Remmers,1/19/65,12/18/87,1/1/99,Senior Staff
42778,Shuji,Remmers,1/19/65,12/18/87,1/1/99,Staff
42911,Brigham,Eterovic,1/29/65,10/8/94,1/1/99,Engineer
42911,Brigham,Eterovic,1/29/65,10/8/94,1/1/99,Senior Engineer
42950,Shaleah,Eickenmeyer,1/22/65,10/9/93,1/1/99,Senior Staff
42955,Yucel,Lortz,1/12/65,2/21/95,1/1/99,Engineer
43154,Maha,Waterhouse,1/13/65,7/4/97,1/1/99,Senior Staff
43154,Maha,Waterhouse,1/13/65,7/4/97,1/1/99,Staff
43733,Huei,Boguraev,1/26/65,12/31/93,1/1/99,Senior Staff
43733,Huei,Boguraev,1/26/65,12/31/93,1/1/99,Staff
43848,Phillip,Oxenboll,1/11/65,5/26/99,1/1/99,Engineer
44054,Alenka,Ritcey,1/18/65,2/9/97,1/1/99,Engineer
44265,Maria,Eppinger,1/24/65,1/30/97,1/1/99,Engineer
44540,Mingzeng,Sadowski,1/16/65,11/12/89,1/1/99,Senior Engineer
44900,Mark,Schwaller,1/5/65,8/10/94,1/1/99,Senior Staff
44900,Mark,Schwaller,1/5/65,8/10/94,1/1/99,Staff
44959,Volkmar,Uhrik,1/21/65,1/16/88,1/1/99,Engineer
44959,Volkmar,Uhrik,1/21/65,1/16/88,1/1/99,Senior Engineer
44962,Sariel,Wynblatt,1/16/65,5/18/96,1/1/99,Assistant Engineer
45162,Dulce,Speel,1/11/65,10/19/87,1/1/99,Engineer
45162,Dulce,Speel,1/11/65,10/19/87,1/1/99,Senior Engineer
46000,Zhaofang,Penn,1/26/65,7/24/97,1/1/99,Senior Staff
46000,Zhaofang,Penn,1/26/65,7/24/97,1/1/99,Staff
46328,Wuxu,Trogemann,1/5/65,1/27/97,1/1/99,Senior Staff
46811,Junsik,Berendt,1/10/65,4/27/88,1/1/99,Senior Engineer
46834,Tooru,Daescu,1/22/65,3/20/98,1/1/99,Senior Staff
46943,Pasqua,Maraist,1/31/65,12/6/93,1/1/99,Engineer
46943,Pasqua,Maraist,1/31/65,12/6/93,1/1/99,Senior Engineer
47016,Toong,Litecky,1/3/65,3/1/89,1/1/99,Senior Staff
47016,Toong,Litecky,1/3/65,3/1/89,1/1/99,Staff
47139,Marco,Usdin,1/25/65,10/29/96,1/1/99,Engineer
47262,Gonzalo,Binkley,1/10/65,8/16/85,1/1/99,Engineer
47262,Gonzalo,Binkley,1/10/65,8/16/85,1/1/99,Senior Engineer
47515,Naraig,Jenevein,1/26/65,1/18/87,1/1/99,Senior Engineer
47702,Juyoung,Vieri,1/21/65,8/12/91,1/1/99,Senior Staff
47702,Juyoung,Vieri,1/21/65,8/12/91,1/1/99,Staff
47708,Edwin,Haldar,1/5/65,7/12/95,1/1/99,Senior Staff
48275,Sariel,Massonet,1/29/65,11/20/87,1/1/99,Senior Staff
48275,Sariel,Massonet,1/29/65,11/20/87,1/1/99,Staff
48690,Hitomi,Schaap,1/12/65,9/27/99,1/1/99,Staff
48882,Leen,Lamparter,1/28/65,6/7/93,1/1/99,Engineer
48882,Leen,Lamparter,1/28/65,6/7/93,1/1/99,Senior Engineer
48904,Yuichiro,Malabarba,1/23/65,3/7/94,1/1/99,Senior Staff
48904,Yuichiro,Malabarba,1/23/65,3/7/94,1/1/99,Staff
48947,Filipp,Akaboshi,1/5/65,5/20/92,1/1/99,Senior Staff
49010,Kazuhisa,Benantar,1/16/65,3/30/90,1/1/99,Senior Staff
49010,Kazuhisa,Benantar,1/16/65,3/30/90,1/1/99,Staff
49017,Filipp,Flanders,1/7/65,11/26/90,1/1/99,Engineer
49017,Filipp,Flanders,1/7/65,11/26/90,1/1/99,Senior Engineer
49119,Lena,Peek,1/9/65,5/16/91,1/1/99,Engineer
49119,Lena,Peek,1/9/65,5/16/91,1/1/99,Senior Engineer
49177,Tze,Bach,1/3/65,3/9/99,1/1/99,Engineer
49464,Siddarth,Cappelletti,1/14/65,9/10/99,1/1/99,Staff
49477,Baocai,Leaver,1/14/65,8/5/98,1/1/99,Senior Staff
50293,Xinan,Rindone,1/26/65,10/8/96,1/1/99,Engineer
50311,Mooi,Stafford,1/24/65,10/6/96,1/1/99,Senior Engineer
50453,Aron,Harbusch,1/12/65,10/2/97,1/1/99,Staff
50670,Boguslaw,Snedden,1/30/65,2/20/85,1/1/99,Senior Staff
50670,Boguslaw,Snedden,1/30/65,2/20/85,1/1/99,Staff
50831,Marie,Khalid,1/6/65,6/11/96,1/1/99,Senior Engineer
51036,Chriss,Fasbender,1/29/65,5/23/95,1/1/99,Staff
51057,Theirry,Albarhamtoshy,1/29/65,9/27/91,1/1/99,Senior Staff
51057,Theirry,Albarhamtoshy,1/29/65,9/27/91,1/1/99,Staff
51060,Youngkon,Rohrbach,1/15/65,10/20/89,1/1/99,Engineer
51060,Youngkon,Rohrbach,1/15/65,10/20/89,1/1/99,Senior Engineer
51142,Rosine,Lakshmanan,1/29/65,1/31/86,1/1/99,Engineer
51142,Rosine,Lakshmanan,1/29/65,1/31/86,1/1/99,Senior Engineer
52038,Chikako,Armand,1/13/65,5/18/85,1/1/99,Senior Engineer
52040,Phule,Heijenga,1/14/65,12/8/96,1/1/99,Senior Staff
52040,Phule,Heijenga,1/14/65,12/8/96,1/1/99,Staff
52283,Trygve,Krupka,1/20/65,3/11/94,1/1/99,Senior Staff
52283,Trygve,Krupka,1/20/65,3/11/94,1/1/99,Staff
52386,Adas,Denti,1/28/65,5/30/86,1/1/99,Senior Staff
52386,Adas,Denti,1/28/65,5/30/86,1/1/99,Staff
52590,Jouni,Munoz,1/21/65,10/7/96,1/1/99,Senior Staff
52590,Jouni,Munoz,1/21/65,10/7/96,1/1/99,Staff
52599,Augustine,Mungall,1/25/65,1/13/94,1/1/99,Engineer
52599,Augustine,Mungall,1/25/65,1/13/94,1/1/99,Senior Engineer
52639,Arup,Colorni,1/9/65,2/5/96,1/1/99,Senior Staff
52770,Shugo,Yurek,1/31/65,8/28/92,1/1/99,Senior Staff
52770,Shugo,Yurek,1/31/65,8/28/92,1/1/99,Staff
52778,Alain,Penn,1/15/65,5/3/86,1/1/99,Technique Leader
52956,Khalil,Picci,1/31/65,11/24/98,1/1/99,Engineer
52956,Khalil,Picci,1/31/65,11/24/98,1/1/99,Senior Engineer
52970,Lobel,Werthner,1/22/65,3/17/88,1/1/99,Engineer
52970,Lobel,Werthner,1/22/65,3/17/88,1/1/99,Senior Engineer
53278,Premsyl,Lortz,1/31/65,2/1/93,1/1/99,Senior Staff
53278,Premsyl,Lortz,1/31/65,2/1/93,1/1/99,Staff
53314,Eberhardt,Carrera,1/6/65,2/23/99,1/1/99,Staff
53431,Sham,Vasanthakumar,1/12/65,5/24/93,1/1/99,Senior Staff
53499,Zdislav,Mandelberg,1/20/65,9/11/94,1/1/99,Engineer
53499,Zdislav,Mandelberg,1/20/65,9/11/94,1/1/99,Senior Engineer
53597,Jiafu,Marchegay,1/30/65,3/2/85,1/1/99,Engineer
53597,Jiafu,Marchegay,1/30/65,3/2/85,1/1/99,Senior Engineer
53874,Bodo,Schade,1/23/65,2/14/86,1/1/99,Senior Staff
53874,Bodo,Schade,1/23/65,2/14/86,1/1/99,Staff
53924,Arnould,Gaughan,1/27/65,1/23/91,1/1/99,Engineer
53924,Arnould,Gaughan,1/27/65,1/23/91,1/1/99,Senior Engineer
54198,Shaowen,Segond,1/1/65,1/6/86,1/1/99,Engineer
54198,Shaowen,Segond,1/1/65,1/6/86,1/1/99,Senior Engineer
54632,Etsuo,Serot,1/19/65,6/14/89,1/1/99,Senior Staff
54632,Etsuo,Serot,1/19/65,6/14/89,1/1/99,Staff
54795,Sumant,Nergos,1/29/65,3/2/94,1/1/99,Senior Staff
54795,Sumant,Nergos,1/29/65,3/2/94,1/1/99,Staff
54800,Breannda,Cangellaris,1/13/65,1/27/00,1/1/99,Staff
55640,Adit,Syrotiuk,1/25/65,7/16/93,1/1/99,Engineer
55640,Adit,Syrotiuk,1/25/65,7/16/93,1/1/99,Senior Engineer
55687,Shih,Lindqvist,1/2/65,3/29/95,1/1/99,Senior Engineer
55799,Jianwen,Litzler,1/23/65,6/17/87,1/1/99,Engineer
55799,Jianwen,Litzler,1/23/65,6/17/87,1/1/99,Senior Engineer
55857,Adin,Scallan,1/18/65,9/15/87,1/1/99,Senior Staff
55857,Adin,Scallan,1/18/65,9/15/87,1/1/99,Staff
56105,Makato,Remmers,1/11/65,4/16/89,1/1/99,Engineer
56105,Makato,Remmers,1/11/65,4/16/89,1/1/99,Senior Engineer
56209,Remzi,Douceur,1/19/65,12/1/92,1/1/99,Engineer
56209,Remzi,Douceur,1/19/65,12/1/92,1/1/99,Senior Engineer
56415,Sigeru,Nivat,1/30/65,10/24/91,1/1/99,Senior Staff
56415,Sigeru,Nivat,1/30/65,10/24/91,1/1/99,Staff
56428,Olivera,Hanabata,1/27/65,11/10/86,1/1/99,Senior Staff
56428,Olivera,Hanabata,1/27/65,11/10/86,1/1/99,Staff
56682,Roded,Picco,1/28/65,11/6/93,1/1/99,Assistant Engineer
56829,Nagui,Gruenwald,1/9/65,6/14/97,1/1/99,Engineer
56847,Menkae,Chinin,1/14/65,8/27/98,1/1/99,Senior Engineer
57934,Sanjoy,Boudaillier,1/25/65,12/27/89,1/1/99,Engineer
57934,Sanjoy,Boudaillier,1/25/65,12/27/89,1/1/99,Senior Engineer
58141,Bezalel,Karner,1/5/65,9/27/94,1/1/99,Staff
58147,Shigenori,Sullins,1/9/65,2/24/88,1/1/99,Senior Staff
58384,Mariusz,Vural,1/22/65,11/14/93,1/1/99,Engineer
58384,Mariusz,Vural,1/22/65,11/14/93,1/1/99,Senior Engineer
58454,Ziya,Zambonelli,1/25/65,6/29/99,1/1/99,Engineer
58497,Yechiam,Cairo,1/22/65,10/21/00,1/1/99,Senior Staff
58819,Gennady,Liesche,1/4/65,12/2/87,1/1/99,Senior Staff
58990,Palash,Trelles,1/4/65,11/18/98,1/1/99,Engineer
59195,Ronnie,Pollock,1/8/65,6/19/90,1/1/99,Technique Leader
