"emp_no","first_name","last_name","title","from_date","to_date","order"
10134,"Diederik","Siprelle","Engineer","1987-12-12","1994-12-12",NULL
10134,"Diederik","Siprelle","Senior Engineer","1994-12-12","9999-01-01",NULL
10138,"Perry","Shimshoni","Engineer","1992-03-03","2001-03-03",NULL
10138,"Perry","Shimshoni","Senior Engineer","2001-03-03","9999-01-01",NULL
10150,"Zhenbing","Perng","Engineer","1986-11-16","1995-11-16",NULL
10150,"Zhenbing","Perng","Senior Engineer","1995-11-16","9999-01-01",NULL
10153,"Heekeun","Majewski","Assistant Engineer","2000-01-08","9999-01-01",NULL
10157,"Nigel","Aloisi","Senior Engineer","1997-12-10","9999-01-01",NULL
10198,"Pranav","Furedi","Engineer","1985-08-31","1993-08-31",NULL
10198,"Pranav","Furedi","Senior Engineer","1993-08-31","9999-01-01",NULL
10215,"Xiaobin","Duclos","Senior Staff","1991-11-23","9999-01-01",NULL
10224,"Leon","Trogemann","Engineer","1988-01-09","1996-01-09",NULL
10224,"Leon","Trogemann","Senior Engineer","1996-01-09","9999-01-01",NULL
10233,"Lein","Vendrig","Senior Staff","2000-04-28","9999-01-01",NULL
10233,"Lein","Vendrig","Staff","1994-04-29","2000-04-28",NULL
10258,"Basil","Ishibashi","Assistant Engineer","1985-05-17","1991-05-17",NULL
10258,"Basil","Ishibashi","Engineer","1991-05-17","1997-05-16",NULL
10258,"Basil","Ishibashi","Senior Engineer","1997-05-16","9999-01-01",NULL
10272,"Yishai","Cannane","Staff","1997-10-23","9999-01-01",NULL
10282,"Hercules","Benzmuller","Assistant Engineer","1996-05-02","2001-05-02",NULL
10282,"Hercules","Benzmuller","Engineer","2001-05-02","9999-01-01",NULL
10283,"Kauko","Birjandi","Engineer","1988-05-25","1995-05-26",NULL
10283,"Kauko","Birjandi","Senior Engineer","1995-05-26","9999-01-01",NULL
10326,"Masali","Czap","Staff","1998-09-02","9999-01-01",NULL
10340,"Djelloul","Laventhal","Senior Staff","1993-03-30","9999-01-01",NULL
10340,"Djelloul","Laventhal","Staff","1988-03-30","1993-03-30",NULL
10347,"Pradeep","Kaminger","Staff","1998-02-20","9999-01-01",NULL
10355,"Satyanarayana","Cochrane","Staff","1996-01-26","9999-01-01",NULL
10356,"Vasilis","Standera","Senior Staff","1995-06-26","9999-01-01",NULL
10364,"Nakhoon","Dengi","Senior Engineer","1985-11-14","9999-01-01",NULL
10372,"Anneli","Frijda","Technique Leader","1985-07-30","9999-01-01",NULL
10387,"Parto","Wrigley","Senior Staff","1999-01-07","9999-01-01",NULL
10387,"Parto","Wrigley","Staff","1994-01-07","1999-01-07",NULL
10396,"Sibyl","Rahier","Senior Engineer","1986-01-11","9999-01-01",NULL
10402,"Volkmar","Ebeling","Technique Leader","1987-01-02","9999-01-01",NULL
10404,"Prodip","Rosti","Engineer","1988-08-28","1996-08-28",NULL
10404,"Prodip","Rosti","Senior Engineer","1996-08-28","9999-01-01",NULL
10426,"Arunas","Luce","Technique Leader","1985-07-06","9999-01-01",NULL
10429,"Martien","Improta","Senior Engineer","1988-09-23","9999-01-01",NULL
10432,"Hisao","Tiemann","Senior Staff","1996-08-12","9999-01-01",NULL
10432,"Hisao","Tiemann","Staff","1990-08-13","1996-08-12",NULL
10451,"Bodh","Ranta","Assistant Engineer","1988-03-12","1993-03-12",NULL
10451,"Bodh","Ranta","Engineer","1993-03-12","1998-03-12",NULL
10451,"Bodh","Ranta","Senior Engineer","1998-03-12","9999-01-01",NULL
10453,"Tsvetan","Matzel","Senior Staff","1993-04-02","9999-01-01",NULL
10453,"Tsvetan","Matzel","Staff","1985-04-02","1993-04-02",NULL
10463,"Ung","Zaiane","Staff","1994-02-17","9999-01-01",NULL
10486,"Amstein","Kossowski","Engineer","1987-10-08","1996-10-07",NULL
10486,"Amstein","Kossowski","Senior Engineer","1996-10-07","9999-01-01",NULL
10494,"Yakkov","Servieres","Engineer","1991-12-18","2000-12-17",NULL
10494,"Yakkov","Servieres","Senior Engineer","2000-12-17","9999-01-01",NULL
10504,"Xiong","Varker","Staff","1999-10-19","9999-01-01",NULL
10512,"Udi","Gihr","Senior Staff","1998-11-28","9999-01-01",NULL
10512,"Udi","Gihr","Staff","1989-11-28","1998-11-28",NULL
10522,"Marke","Cesareni","Senior Staff","1995-12-12","9999-01-01",NULL
10522,"Marke","Cesareni","Staff","1986-12-12","1995-12-12",NULL
10548,"Ramalingam","Gunderson","Senior Staff","1993-07-04","9999-01-01",NULL
10548,"Ramalingam","Gunderson","Staff","1986-07-04","1993-07-04",NULL
10564,"Jianhao","Thisen","Engineer","1995-11-23","2000-11-22",NULL
10564,"Jianhao","Thisen","Senior Engineer","2000-11-22","9999-01-01",NULL
10623,"Aleksander","Danlos","Engineer","1992-01-15","1999-01-15",NULL
10623,"Aleksander","Danlos","Senior Engineer","1999-01-15","9999-01-01",NULL
10628,"Krisda","Krogh","Assistant Engineer","1987-03-14","1994-03-14",NULL
10628,"Krisda","Krogh","Engineer","1994-03-14","2001-03-14",NULL
10628,"Krisda","Krogh","Senior Engineer","2001-03-14","9999-01-01",NULL
10631,"Inderjeet","Chaudhuri","Engineer","1994-10-18","9999-01-01",NULL
10642,"Hirochika","Narlikar","Engineer","1998-10-05","9999-01-01",NULL
10653,"Otmar","Feinberg","Senior Engineer","1987-04-30","9999-01-01",NULL
10671,"Parviz","Rebaine","Senior Staff","2001-09-13","9999-01-01",NULL
10671,"Parviz","Rebaine","Staff","1995-09-14","2001-09-13",NULL
10676,"Valeri","Danley","Engineer","1999-09-04","9999-01-01",NULL
10693,"Berhard","Daescu","Senior Staff","1991-01-08","9999-01-01",NULL
10693,"Berhard","Daescu","Staff","1986-01-08","1991-01-08",NULL
10702,"Bader","Szemeredi","Senior Engineer","1991-01-14","9999-01-01",NULL
10718,"Adib","Rullman","Engineer","1988-07-21","1997-07-21",NULL
10718,"Adib","Rullman","Senior Engineer","1997-07-21","9999-01-01",NULL
10726,"Zita","Minakawa","Engineer","1992-02-25","2001-02-24",NULL
10726,"Zita","Minakawa","Senior Engineer","2001-02-24","9999-01-01",NULL
10734,"Sachar","Erdi","Engineer","1995-12-19","9999-01-01",NULL
10745,"Poorav","Ranze","Engineer","1988-01-23","1997-01-22",NULL
10745,"Poorav","Ranze","Senior Engineer","1997-01-22","9999-01-01",NULL
10749,"King","Brendel","Engineer","1985-09-26","1990-09-26",NULL
10749,"King","Brendel","Senior Engineer","1990-09-26","9999-01-01",NULL
10767,"Monique","Doering","Staff","1997-07-15","9999-01-01",NULL
10768,"Ishfaq","Candan","Engineer","1985-07-04","1990-07-04",NULL
10768,"Ishfaq","Candan","Senior Engineer","1990-07-04","9999-01-01",NULL
10778,"Selwyn","Merey","Senior Staff","1986-07-04","9999-01-01",NULL
10791,"Tadahiko","Sgarro","Engineer","1988-07-30","1995-07-31",NULL
10791,"Tadahiko","Sgarro","Senior Engineer","1995-07-31","9999-01-01",NULL
10795,"Supot","Naudin","Senior Staff","1999-05-03","9999-01-01",NULL
10795,"Supot","Naudin","Staff","1993-05-03","1999-05-03",NULL
10808,"Chenxi","Leijenhorst","Senior Engineer","1987-03-07","9999-01-01",NULL
10835,"Tomoyuki","Kermarrec","Engineer","1995-08-22","9999-01-01",NULL
10836,"Jianhua","Leivant","Senior Staff","1987-08-10","9999-01-01",NULL
10844,"Dipayan","Koprowski","Engineer","1997-04-25","9999-01-01",NULL
10847,"Theirry","Danley","Senior Staff","1992-07-24","9999-01-01",NULL
10847,"Theirry","Danley","Staff","1986-07-25","1992-07-24",NULL
10848,"Fen","Bratsberg","Engineer","1985-04-20","1992-04-20",NULL
10848,"Fen","Bratsberg","Senior Engineer","1992-04-20","9999-01-01",NULL
10878,"Lakshmi","Deville","Staff","1997-04-25","9999-01-01",NULL
10879,"Muzhong","Chleq","Senior Engineer","1985-08-15","9999-01-01",NULL
10883,"Shimshon","Champarnaud","Engineer","1996-12-28","9999-01-01",NULL
10909,"Georgi","Atchley","Engineer","1993-12-26","2000-12-26",NULL
10909,"Georgi","Atchley","Senior Engineer","2000-12-26","9999-01-01",NULL
10921,"Mara","Bahi","Engineer","1986-07-27","1995-07-27",NULL
10921,"Mara","Bahi","Senior Engineer","1995-07-27","9999-01-01",NULL
10924,"Hironoby","Atchley","Senior Staff","1997-08-14","9999-01-01",NULL
10924,"Hironoby","Atchley","Staff","1988-08-14","1997-08-14",NULL
10927,"Gal","Scallan","Senior Staff","1993-09-12","9999-01-01",NULL
10927,"Gal","Scallan","Staff","1986-09-12","1993-09-12",NULL
10936,"Mountaz","Schicker","Senior Staff","1996-05-08","9999-01-01",NULL
10936,"Mountaz","Schicker","Staff","1990-05-09","1996-05-08",NULL
10943,"Berna","Skafidas","Engineer","1993-05-22","1999-05-22",NULL
10943,"Berna","Skafidas","Senior Engineer","1999-05-22","9999-01-01",NULL
10965,"Eckart","Braunschweig","Senior Staff","1986-07-29","9999-01-01",NULL
10969,"Premal","Noriega","Senior Engineer","1994-05-12","9999-01-01",NULL
10974,"Muneo","Papsdorf","Senior Engineer","1999-05-17","9999-01-01",NULL
10986,"Masako","Schiper","Technique Leader","1985-10-11","9999-01-01",NULL
10988,"Chinya","Deyuan","Senior Engineer","1985-06-19","9999-01-01",NULL
10989,"Sumali","Candan","Senior Staff","1991-07-20","9999-01-01",NULL
10989,"Sumali","Candan","Staff","1985-07-20","1991-07-20",NULL
10990,"Shin","Foote","Technique Leader","1990-08-06","9999-01-01",NULL
11009,"Alper","Axelband","Senior Staff","1993-09-09","9999-01-01",NULL
11009,"Alper","Axelband","Staff","1986-09-09","1993-09-09",NULL
11012,"Taegyun","Speckmann","Staff","1996-07-06","9999-01-01",NULL
11019,"Leon","Huttel","Engineer","1992-05-24","1997-05-24",NULL
11019,"Leon","Huttel","Senior Engineer","1997-05-24","9999-01-01",NULL
11021,"Srinidhi","Henders","Staff","1998-02-02","9999-01-01",NULL
11027,"Remzi","Cappello","Assistant Engineer","1986-05-07","1991-05-07",NULL
11027,"Remzi","Cappello","Engineer","1991-05-07","1996-05-06",NULL
11027,"Remzi","Cappello","Senior Engineer","1996-05-06","9999-01-01",NULL
11031,"Ottavia","Walstra","Senior Staff","1993-10-24","9999-01-01",NULL
11031,"Ottavia","Walstra","Staff","1985-10-24","1993-10-24",NULL
11037,"Lansing","Maliniak","Engineer","1988-01-28","1995-01-28",NULL
11037,"Lansing","Maliniak","Senior Engineer","1995-01-28","9999-01-01",NULL
11038,"Jinya","Beidas","Senior Staff","1992-07-15","9999-01-01",NULL
11038,"Jinya","Beidas","Staff","1985-07-15","1992-07-15",NULL
11042,"Gou","Breugel","Engineer","1993-06-21","2000-06-21",NULL
11042,"Gou","Breugel","Senior Engineer","2000-06-21","9999-01-01",NULL
11048,"Jaques","Demke","Senior Staff","1999-05-27","9999-01-01",NULL
11050,"Elvis","Katiyar","Senior Staff","1991-05-06","9999-01-01",NULL
11050,"Elvis","Katiyar","Staff","1986-05-06","1991-05-06",NULL
11051,"Przemyslawa","Erol","Engineer","1991-03-27","2000-03-26",NULL
11051,"Przemyslawa","Erol","Senior Engineer","2000-03-26","9999-01-01",NULL
11070,"Adib","Raney","Engineer","1985-07-24","1991-07-24",NULL
11070,"Adib","Raney","Senior Engineer","1991-07-24","9999-01-01",NULL
11081,"Barry","Boyle","Senior Staff","1994-06-17","9999-01-01",NULL
11081,"Barry","Boyle","Staff","1985-06-17","1994-06-17",NULL
11085,"Hailing","Thummel","Senior Engineer","1996-02-10","9999-01-01",NULL
11100,"Berna","Cochrane","Senior Staff","1993-10-13","9999-01-01",NULL
11100,"Berna","Cochrane","Staff","1986-10-13","1993-10-13",NULL
11106,"Aris","Iwayama","Assistant Engineer","1985-08-31","1991-08-31",NULL
11106,"Aris","Iwayama","Engineer","1991-08-31","1997-08-30",NULL
11106,"Aris","Iwayama","Senior Engineer","1997-08-30","9999-01-01",NULL
11112,"Boaz","Mukaidono","Staff","1995-04-28","9999-01-01",NULL
11113,"Shahab","Peng","Senior Staff","1991-11-30","9999-01-01",NULL
11113,"Shahab","Peng","Staff","1985-11-30","1991-11-30",NULL
11121,"Vugranam","Kakkad","Engineer","1992-10-31","1999-11-01",NULL
11121,"Vugranam","Kakkad","Senior Engineer","1999-11-01","9999-01-01",NULL
11133,"Nalini","Azulay","Technique Leader","1994-03-06","9999-01-01",NULL
11134,"Sachar","Rajcani","Engineer","1993-05-19","2002-05-19",NULL
11134,"Sachar","Rajcani","Senior Engineer","2002-05-19","9999-01-01",NULL
11137,"Hugh","Luca","Engineer","1995-03-16","9999-01-01",NULL
11139,"Bogdan","Homond","Senior Staff","1995-05-11","9999-01-01",NULL
11139,"Bogdan","Homond","Staff","1990-05-11","1995-05-11",NULL
11146,"Ishfaq","Masand","Senior Staff","1997-08-21","9999-01-01",NULL
11146,"Ishfaq","Masand","Staff","1991-08-22","1997-08-21",NULL
11148,"Zhanqiu","Botman","Senior Staff","1997-02-08","9999-01-01",NULL
11148,"Zhanqiu","Botman","Staff","1990-02-08","1997-02-08",NULL
11162,"Kauko","Narlikar","Engineer","1985-03-28","1990-03-28",NULL
11162,"Kauko","Narlikar","Senior Engineer","1990-03-28","9999-01-01",NULL
11180,"Mitsuyuki","Bojadziev","Engineer","1986-06-11","1992-06-10",NULL
11180,"Mitsuyuki","Bojadziev","Senior Engineer","1992-06-10","9999-01-01",NULL
11197,"Tadahiro","Fordan","Senior Staff","1989-09-12","9999-01-01",NULL
11204,"Diederik","Covnot","Technique Leader","1985-09-18","9999-01-01",NULL
11207,"Saeed","Gips","Engineer","1999-01-31","9999-01-01",NULL
11208,"Saniya","Valtorta","Technique Leader","1994-11-17","9999-01-01",NULL
11211,"Yurij","Rissland","Senior Engineer","1985-09-17","9999-01-01",NULL
11217,"Kellie","Mawatari","Senior Engineer","1990-03-11","9999-01-01",NULL
11232,"Hidefumi","Crelier","Senior Staff","2000-08-01","9999-01-01",NULL
11232,"Hidefumi","Crelier","Staff","1994-08-02","2000-08-01",NULL
11240,"Kiam","Condotta","Assistant Engineer","1989-01-06","1997-01-06",NULL
11240,"Kiam","Condotta","Engineer","1997-01-06","9999-01-01",NULL
11249,"Randi","Cyre","Assistant Engineer","1986-09-22","1994-09-22",NULL
11249,"Randi","Cyre","Engineer","1994-09-22","9999-01-01",NULL
11251,"Bezalel","Chinal","Senior Staff","1993-06-15","9999-01-01",NULL
11251,"Bezalel","Chinal","Staff","1986-06-15","1993-06-15",NULL
11268,"Aimee","Petersohn","Engineer","1987-10-25","1995-10-25",NULL
11268,"Aimee","Petersohn","Senior Engineer","1995-10-25","9999-01-01",NULL
11275,"Hitomi","Eppinger","Engineer","1989-04-25","1998-04-25",NULL
11275,"Hitomi","Eppinger","Senior Engineer","1998-04-25","9999-01-01",NULL
11290,"Visit","Dredge","Engineer","1999-05-13","9999-01-01",NULL
11295,"Abdelkader","Lanzelotte","Senior Staff","1990-05-15","9999-01-01",NULL
11295,"Abdelkader","Lanzelotte","Staff","1985-05-15","1990-05-15",NULL
11319,"Pranas","Marrakchi","Assistant Engineer","1998-11-01","9999-01-01",NULL
11320,"Atilio","McAlpine","Senior Staff","1998-04-06","9999-01-01",NULL
11320,"Atilio","McAlpine","Staff","1990-04-06","1998-04-06",NULL
11322,"Nathalie","Pocchiola","Assistant Engineer","1985-07-07","1992-07-07",NULL
11322,"Nathalie","Pocchiola","Engineer","1992-07-07","1999-07-08",NULL
11322,"Nathalie","Pocchiola","Senior Engineer","1999-07-08","9999-01-01",NULL
11324,"Kauko","Billingsley","Senior Engineer","1985-08-29","9999-01-01",NULL
11338,"Kwangsub","Hanratty","Senior Staff","1998-10-28","9999-01-01",NULL
11339,"Flemming","Massonet","Senior Engineer","1989-12-19","9999-01-01",NULL
11347,"Anneli","Jonsson","Engineer","1986-04-20","1992-04-19",NULL
11347,"Anneli","Jonsson","Senior Engineer","1992-04-19","9999-01-01",NULL
11365,"Toshimi","Shinomoto","Engineer","1997-12-18","9999-01-01",NULL
11376,"Valery","Suomi","Senior Staff","1994-03-14","9999-01-01",NULL
11376,"Valery","Suomi","Staff","1986-03-14","1994-03-14",NULL
11380,"Kenroku","Pelc","Assistant Engineer","1991-04-19","1996-04-18",NULL
11380,"Kenroku","Pelc","Engineer","1996-04-18","2001-04-18",NULL
11380,"Kenroku","Pelc","Senior Engineer","2001-04-18","9999-01-01",NULL
11385,"Shiv","Ullian","Engineer","1999-08-08","9999-01-01",NULL
11386,"Alselm","Assaf","Engineer","1987-11-30","1993-11-29",NULL
11386,"Alselm","Assaf","Senior Engineer","1993-11-29","9999-01-01",NULL
11393,"Junsik","Junot","Engineer","1985-04-30","1992-04-30",NULL
11393,"Junsik","Junot","Senior Engineer","1992-04-30","9999-01-01",NULL
11398,"Oscar","Peir","Senior Staff","2001-09-07","9999-01-01",NULL
11398,"Oscar","Peir","Staff","1994-09-07","2001-09-07",NULL
11404,"Bedrich","Borovoy","Technique Leader","1990-09-25","9999-01-01",NULL
11415,"Sanjiv","Anido","Engineer","1996-12-07","9999-01-01",NULL
11421,"Josyula","Msuda","Engineer","1986-09-02","1995-09-02",NULL
11421,"Josyula","Msuda","Senior Engineer","1995-09-02","9999-01-01",NULL
11441,"Marlo","Aingworth","Senior Staff","1987-03-27","9999-01-01",NULL
11449,"Kotesh","Asser","Engineer","1995-02-03","2000-02-03",NULL
11449,"Kotesh","Asser","Senior Engineer","2000-02-03","9999-01-01",NULL
11459,"Duke","Suomi","Senior Staff","1992-05-02","9999-01-01",NULL
11459,"Duke","Suomi","Staff","1986-05-03","1992-05-02",NULL
11469,"Guttorm","Giaccio","Engineer","1994-09-08","1999-09-08",NULL
11469,"Guttorm","Giaccio","Senior Engineer","1999-09-08","9999-01-01",NULL
11506,"Rance","Picel","Staff","1996-04-08","9999-01-01",NULL
11509,"Aleksander","Feldhoffer","Engineer","1987-11-12","1992-11-11",NULL
11509,"Aleksander","Feldhoffer","Senior Engineer","1992-11-11","9999-01-01",NULL
11513,"Otmar","Mahnke","Senior Staff","1998-08-25","9999-01-01",NULL
11513,"Otmar","Mahnke","Staff","1992-08-25","1998-08-25",NULL
11515,"Ulf","Basawa","Staff","1998-09-21","9999-01-01",NULL
11518,"Jinxi","Oxman","Senior Staff","1999-09-22","9999-01-01",NULL
11518,"Jinxi","Oxman","Staff","1994-09-22","1999-09-22",NULL
11524,"Xiadong","Standera","Senior Engineer","1996-07-05","9999-01-01",NULL
11527,"Alagu","Boyle","Staff","1999-01-28","9999-01-01",NULL
11528,"Zito","Dolinsky","Technique Leader","1987-06-15","9999-01-01",NULL
11537,"DAIDA","Pehl","Senior Staff","1986-07-06","9999-01-01",NULL
11554,"Subhash","Taubenfeld","Staff","1998-07-15","9999-01-01",NULL
11555,"Kotesh","Perfilyeva","Senior Staff","1991-10-14","9999-01-01",NULL
11555,"Kotesh","Perfilyeva","Staff","1986-10-14","1991-10-14",NULL
11567,"Teiji","Mitzlaff","Senior Staff","1996-02-03","9999-01-01",NULL
11567,"Teiji","Mitzlaff","Staff","1988-02-03","1996-02-03",NULL
11568,"Martins","Fujisaki","Engineer","1992-03-13","2000-03-13",NULL
11568,"Martins","Fujisaki","Senior Engineer","2000-03-13","9999-01-01",NULL
11603,"Herb","Swen","Senior Staff","1994-04-13","9999-01-01",NULL
11603,"Herb","Swen","Staff","1985-04-13","1994-04-13",NULL
11607,"Tomokazu","Foong","Engineer","1995-04-19","9999-01-01",NULL
11615,"Shem","Isaak","Senior Staff","2000-08-28","9999-01-01",NULL
11615,"Shem","Isaak","Staff","1991-08-29","2000-08-28",NULL
11624,"Adil","Gammage","Engineer","1989-07-15","1996-07-15",NULL
11624,"Adil","Gammage","Senior Engineer","1996-07-15","9999-01-01",NULL
11628,"Fan","Malinowski","Engineer","1988-10-23","1997-10-23",NULL
11628,"Fan","Malinowski","Senior Engineer","1997-10-23","9999-01-01",NULL
11640,"Valeri","Coorg","Senior Engineer","1988-09-26","9999-01-01",NULL
11647,"Magy","Nitsche","Engineer","1988-05-11","1993-05-11",NULL
11647,"Magy","Nitsche","Senior Engineer","1993-05-11","9999-01-01",NULL
11660,"Gill","Stenning","Senior Staff","1994-11-22","9999-01-01",NULL
11660,"Gill","Stenning","Staff","1986-11-22","1994-11-22",NULL
11673,"Henk","Felder","Technique Leader","1989-06-10","9999-01-01",NULL
11676,"Valeri","Ferriere","Engineer","1998-07-15","9999-01-01",NULL
11681,"Fumitake","Benzmuller","Engineer","1988-08-27","1995-08-28",NULL
11681,"Fumitake","Benzmuller","Senior Engineer","1995-08-28","9999-01-01",NULL
11684,"Oksana","Gide","Senior Staff","1995-02-21","9999-01-01",NULL
11684,"Oksana","Gide","Staff","1986-02-21","1995-02-21",NULL
11696,"Dante","Rothe","Senior Staff","1994-10-23","9999-01-01",NULL
11696,"Dante","Rothe","Staff","1985-10-23","1994-10-23",NULL
11732,"Sanjoy","Ranft","Senior Engineer","1996-12-22","9999-01-01",NULL
11735,"Amalendu","Picci","Senior Staff","1997-07-14","9999-01-01",NULL
11735,"Amalendu","Picci","Staff","1988-07-14","1997-07-14",NULL
11746,"Koichi","Marrakchi","Senior Staff","1995-11-18","9999-01-01",NULL
11746,"Koichi","Marrakchi","Staff","1988-11-17","1995-11-18",NULL
11751,"Jiafu","Emiris","Senior Staff","1993-11-03","9999-01-01",NULL
11751,"Jiafu","Emiris","Staff","1988-11-03","1993-11-03",NULL
11764,"Sanjay","Anick","Engineer","1991-12-16","1996-12-15",NULL
11764,"Sanjay","Anick","Senior Engineer","1996-12-15","9999-01-01",NULL
11769,"Chandrasekaran","Lampe","Senior Staff","2001-10-22","9999-01-01",NULL
11769,"Chandrasekaran","Lampe","Staff","1993-10-22","2001-10-22",NULL
11772,"Gaurav","Penz","Engineer","1999-11-07","9999-01-01",NULL
11797,"Chenxi","Thambidurai","Senior Staff","1996-08-30","9999-01-01",NULL
11797,"Chenxi","Thambidurai","Staff","1988-08-30","1996-08-30",NULL
11810,"Amabile","Bhattacharjee","Senior Engineer","1992-01-05","9999-01-01",NULL
11817,"Niranjan","Markovitch","Senior Staff","1993-04-12","9999-01-01",NULL
11817,"Niranjan","Markovitch","Staff","1986-04-12","1993-04-12",NULL
11832,"Arto","Zlotek","Engineer","1996-02-04","9999-01-01",NULL
11844,"Shawna","Demeyer","Engineer","1988-01-27","1995-01-27",NULL
11844,"Shawna","Demeyer","Senior Engineer","1995-01-27","9999-01-01",NULL
11853,"Zeljko","Kusakabe","Senior Staff","1996-11-17","9999-01-01",NULL
11853,"Zeljko","Kusakabe","Staff","1988-11-17","1996-11-17",NULL
11857,"Divier","Farrag","Senior Staff","1986-08-27","9999-01-01",NULL
11864,"Pradeep","Kriebel","Staff","1995-11-02","9999-01-01",NULL
11871,"Nalini","Sommen","Engineer","1993-10-13","1998-10-13",NULL
11871,"Nalini","Sommen","Senior Engineer","1998-10-13","9999-01-01",NULL
11872,"Cheong","Riexinger","Senior Staff","2002-02-12","9999-01-01",NULL
11872,"Cheong","Riexinger","Staff","1994-02-12","2002-02-12",NULL
11894,"Mitchel","Validov","Senior Engineer","1988-06-22","9999-01-01",NULL
11897,"Cordelia","Setlzner","Senior Staff","1997-06-16","9999-01-01",NULL
11897,"Cordelia","Setlzner","Staff","1988-06-16","1997-06-16",NULL
11906,"Hideo","Boguraev","Engineer","1999-02-07","9999-01-01",NULL
11915,"Miomir","Mawatari","Engineer","1992-06-28","2001-06-28",NULL
11915,"Miomir","Mawatari","Senior Engineer","2001-06-28","9999-01-01",NULL
11931,"Gunilla","Chiodo","Senior Staff","2000-01-13","9999-01-01",NULL
11931,"Gunilla","Chiodo","Staff","1991-01-13","2000-01-13",NULL
11933,"Basil","Erman","Engineer","1987-06-13","1992-06-12",NULL
11933,"Basil","Erman","Senior Engineer","1992-06-12","9999-01-01",NULL
11949,"Martijn","Harbusch","Technique Leader","1985-03-11","9999-01-01",NULL
11983,"Jaana","Hedayat","Engineer","1986-10-11","1994-10-11",NULL
11983,"Jaana","Hedayat","Senior Engineer","1994-10-11","9999-01-01",NULL
11993,"Marit","Dalphin","Senior Staff","1996-10-22","9999-01-01",NULL
12011,"Zhilian","Coorg","Senior Staff","1997-07-22","9999-01-01",NULL
12011,"Zhilian","Coorg","Staff","1988-07-22","1997-07-22",NULL
12036,"Mads","Ratzlaff","Senior Staff","1995-09-05","9999-01-01",NULL
12036,"Mads","Ratzlaff","Staff","1986-09-05","1995-09-05",NULL
12037,"Arunas","Katzenelson","Senior Staff","1992-09-30","9999-01-01",NULL
12037,"Arunas","Katzenelson","Staff","1986-10-01","1992-09-30",NULL
12050,"Yuchang","Tchuente","Assistant Engineer","1989-04-01","1996-04-01",NULL
12050,"Yuchang","Tchuente","Engineer","1996-04-01","9999-01-01",NULL
12062,"Margareta","Worfolk","Senior Staff","1996-01-04","9999-01-01",NULL
12069,"Ayonca","Burnard","Assistant Engineer","1985-05-13","1990-05-13",NULL
12069,"Ayonca","Burnard","Engineer","1990-05-13","1995-05-13",NULL
12069,"Ayonca","Burnard","Senior Engineer","1995-05-13","9999-01-01",NULL
12070,"Ger","Shokrollahi","Technique Leader","1988-11-14","9999-01-01",NULL
12076,"Karlis","Siprelle","Senior Staff","1985-03-25","9999-01-01",NULL
12082,"Xinan","Yamaashi","Senior Staff","1992-01-29","9999-01-01",NULL
12082,"Xinan","Yamaashi","Staff","1986-01-29","1992-01-29",NULL
